BRAHMS,COLLECTOR,NUMBER,SPECIES,COUNTRY,MAJORAREA,LOCNOTES,LLRES,QDS,LATDEC,LONGDEC,updatedProv,Check
317637,"Codd, L.E.W.",9991,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,SOUTPANSBERG; MARA STA,,,0,0,Limpopo,y
317640,"Walters, J.",PRE 10758,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,LYDENBURG DIST.; OHRIGSTAD VALLEY,,,0,0,Mpumalanga,y
317641,"Turner, F.A.S.",PRE 3439,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,RUSTENBURG DIST.,,,0,0,North West,y
317644,"Beyer, G.",TRV 21188,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,MAPELA,,,0,0,,
317651,"Leistner, O.A.",653,Impatiens sylvicola Burtt Davy & Greenway,South Africa,Transvaal,PIETERSBURG DIST.; MAGOEBASKLOOF HOTEL; SLOPES BELOW IN RAIN FOR.,,,0,0,Limpopo,y
317656,"Codd, L.E.W.",10052,Impatiens sylvicola Burtt Davy & Greenway,South Africa,Transvaal,PILGRIMS REST DIST.; KOWYNS PASS,,,0,0,Mpumalanga,y
317708,"Barkhuizen, B.P.",80,Brachystelma foetidum Schltr.,South Africa,Transvaal,WESTERN TRANSVAAL,,,0,0,,
317712,"Liebenberg, A.",PRE 56720,Brachystelma foetidum Schltr.,South Africa,Transvaal,WITWATERSRAND,,,0,0,,
317798,"Burtt Davy, J.",4083,Guizotia abyssinica (L.f.) Cass.,South Africa,Transvaal,SPRINGBOK FLATS,,,0,0,,
317921,"Lavranos, J.J.",11209,Xenostegia tridentata (L.) D.F.Austin & Staples subsp. angus,South Africa,Transvaal,PRETORIA; ELDORAIGNE NEAR PRETORIA,1/4dg,2528CC,-25.87166,28.12166,Gauteng,y
318083,"Van Jaarsveld, E.J.",439,Psychotria zombamontana (Kuntze) E.M.A.Petit,South Africa,Transvaal,GRASKOP; ABOUT 3 KM. N. OF PIROW'S GRAVE TOWARDS O'KEEFS HUTS FOOT PATH THROUGH FOR.,1/4dg,2430DB,-24.62166,30.87166,,
318104,"Van Jaarsveld, E.J.",432,Oxyanthus speciosus DC. subsp. gerrardii (Sond.) Bridson,South Africa,Transvaal,GRASKOP; PIROWS GRAVE JUST NE.,1/4dg,2430DB,-24.62166,30.87166,,
318123,"Devenish, N.J.",1508,Pachystigma macrocalyx (Sond.) Robyns,South Africa,Transvaal,PIET RETIEF DIST; MOOIHOEK,1/2dg,2730B,-27.25,30.75,Mpumalanga,y
318305,"van der Schijff, H.P.",1772,Ctenolepis cerasiformis (Stocks) Hook.f.,South Africa,Transvaal,KRUGER NAT. PARK; BETW. ONDER-SABIE EN SKUKUZA,,,0,0,,
318364,"Codd, L.E.W.",9456,Brachystelma pachypodium R.A.Dyer,South Africa,Transvaal,LETABA DIST; CYPRUS; THE DOWN,,,0,0,Limpopo,y
318371,"Louw, W.J.",811,Brachystelma gracillimum R.A.Dyer,South Africa,Transvaal,MARICO; LEKKERLACH; N. OF MARICO,,,0,0,North West,y
318372,"Louw, W.J.",811A,Ceropegia mafekingensis (N.E.Br.) R.A.Dyer,South Africa,Transvaal,MARICO; LEKKERLACH; N. OF MARICO,,,0,0,North West,y
318558,"Van Jaarsveld, E.J.",452,Stachys arachnoidea Codd,South Africa,Transvaal,GRASKOP; GODS WINDOW VIEWPOINT,1/4dg,2430DB,-24.62166,30.87166,,
318572,"Van Jaarsveld, E.J.",443,Solenostemon latifolius (Hochst. ex Benth.) J.K.Morton,South Africa,Transvaal,5KM. N. OF GODS WINDOW AT CIRCLE VIEW POINT.,1/4dg,2430DB,-24.62166,30.87166,,
318582,"McCallum, I.M.S.",137/149,Sesamum orientale L.,South Africa,Transvaal,PIETERSBURG DIST.,,,0,0,Limpopo,y
318629,"Van Jaarsveld, E.J.",435,Solenostemon latifolius (Hochst. ex Benth.) J.K.Morton,South Africa,Transvaal,GRASKOP; PIROWS GRAVE; JUST NE. OF GROVE NR. GRASKOP,1/4dg,2430DB,-24.62166,30.87166,,
318630,"Van Jaarsveld, E.J.",440,Solenostemon latifolius (Hochst. ex Benth.) J.K.Morton,South Africa,Transvaal,GRASKOP; PIROWS GRAVE; ABOUT 3 KM. N. OF PIROWS GRAVE TOWARDS O'KEEFS HUTS,1/4dg,2430DB,-24.62166,30.87166,,
318637,"Van Jaarsveld, E.J.",427,Syncolostemon albiflorus (N.E.Br.) D.F.Otieno,South Africa,Transvaal,GRASKOP; PIROWS GRAVE,1/4dg,2430DB,-24.62166,30.87166,,
